.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
ERR11029820_1	1	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
ERR11029820_2	1	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
ERR11029826_1	1	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
ERR11029826_2	1	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
ERR11029834_1	1	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
ERR11029834_2	1	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
ERR11029837_1	1	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
ERR11029837_2	1	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
ERR11029838_1	1	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
ERR11029838_2	1	1	1	1	0.5	1	1	0.5	0.25	0.5	1
ERR11029840_1	1	1	1	1	0.5	1	1	0.5	0.25	0.5	1
ERR11029840_2	1	1	1	1	0.5	1	1	0.5	0.25	0.5	1
