Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
ERR11029820_1	84.51259548187876	37.0	112.53600845116203	120	9.090909090909092	0.30765
ERR11029820_2	82.36274987810825	37.0	107.83127254997562	120	9.090909090909092	0.30765
ERR11029826_1	85.21487356567881	37.0	110.09272882950378	120	9.090909090909092	0.355046
ERR11029826_2	83.29005255657013	37.0	106.21616072283591	120	9.090909090909092	0.355046
ERR11029834_1	81.7460451281982	37.0	107.0012055993768	120	9.090909090909092	0.296533
ERR11029834_2	84.16129064893283	37.0	112.35571926227435	120	9.090909090909092	0.296533
ERR11029837_1	83.18202099857035	37.0	106.78671942109753	120	9.090909090909092	0.329451
ERR11029837_2	85.01415992059518	37.0	110.88101568973838	120	9.090909090909092	0.329451
ERR11029838_1	83.53559194290102	37.0	106.32814771159235	120	9.090909090909092	0.352931
ERR11029838_2	85.52748270908478	37.0	110.39124786431343	120	9.090909090909092	0.352931
ERR11029840_1	81.50573673494888	37.0	107.57033288497865	120	9.090909090909092	0.272106
ERR11029840_2	83.54244301852954	37.0	111.75498151455683	120	9.090909090909092	0.272106
