Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving_reads	fastp-pct_surviving_bases	fastp-pct_adapter	fastp-before_filtering_read1_mean_length	fastp-before_filtering_read2_mean_length	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
ERR11029820	8.31724	91.0077	56.71001	0.57067	37.8418	92.74662766130342	91.83650039244633	23.543312205428247	112.0	107.0						
ERR11029820_R1											86.38232253316278	37.0	111.33077785760597	120	9.090909090909092	0.285335
ERR11029820_R2											84.77894404822402	37.0	106.88593232516165	118	9.090909090909092	0.285335
ERR11029826	10.6662	91.4616	62.729853	0.643228	37.6293	90.58375534437792	89.23057690251858	30.623919154137774	110.0	106.0						
ERR11029826_R1											87.53257009956035	37.0	108.37080786284179	120	9.090909090909092	0.321614
ERR11029826_R2											86.11409951059345	37.0	104.7209232185166	118	9.090909090909092	0.321614
ERR11029834	7.626810000000001	90.5985	53.857321999999996	0.548594	37.8138	92.50134049161476	91.31689318151271	25.557020635140105	107.0	112.0						
ERR11029834_R1											84.2703347101864	37.0	105.97152174467821	118	9.090909090909092	0.274297
ERR11029834_R2											85.99911774463446	37.0	110.59113479184971	120	9.090909090909092	0.274297
ERR11029837	9.80692	91.264	58.913090999999994	0.6020599999999999	37.7473	91.3732239392201	89.94268903253307	29.848141301741382	106.0	111.0						
ERR11029837_R1											85.90439491080623	37.0	105.39886722253596	118	9.090909090909092	0.30102999999999996
ERR11029837_R2											87.27535461581903	37.0	108.87592266551506	120	9.090909090909092	0.30102999999999996
ERR11029838	10.6777	91.4841	62.356682	0.6425299999999999	37.6743	91.02770796557968	89.04133713285137	33.07530367125586	106.0	110.0						
ERR11029838_R1											86.21511836023221	37.0	104.35227148926899	118	9.090909090909092	0.32126499999999997
ERR11029838_R2											87.66594555896222	37.0	107.65643471900145	120	9.090909090909092	0.32126499999999997
ERR11029840	8.074430000000001	91.27579999999999	49.521111	0.502026	37.7204	92.24824149412362	90.83361037433023	27.625998691686327	107.0	111.0						
ERR11029840_R1											83.9589981395386	37.0	106.2152179369196	118	9.090909090909092	0.251013
ERR11029840_R2											85.49118969933828	37.0	109.7638787632513	120	9.090909090909092	0.251013
